epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
89,17802.2,0.53779,1.37371,0.69755,0.92759,0,0.78098,0.7222,0.75232,0.67323,0.76744,0.70764,0.72973,0.57134,0.59054,1.46582,0.70563,0.92989,0,0.0001288,0.0001288,0.0001288
90,17999.6,0.53738,1.37823,0.69679,0.92663,0,0.74743,0.73292,0.75317,0.67427,0.73328,0.71659,0.72982,0.57231,0.59025,1.46342,0.70237,0.92884,0,0.0001189,0.0001189,0.0001189
91,18204.5,0.51445,1.34617,0.56765,0.9124,0,0.7797,0.7279,0.75333,0.67504,0.76604,0.71284,0.73129,0.57224,0.58817,1.46654,0.70045,0.9259,0,0.000109,0.000109,0.000109
92,18395.8,0.50884,1.33282,0.55576,0.90993,0,0.77883,0.72767,0.75391,0.67515,0.7655,0.71301,0.73237,0.57174,0.58968,1.46719,0.69876,0.92679,0,9.91e-05,9.91e-05,9.91e-05
93,18592.6,0.50739,1.3166,0.54554,0.90781,0,0.87582,0.69553,0.7599,0.68054,0.86317,0.68399,0.73788,0.57625,0.58766,1.46538,0.69651,0.92757,0,8.92e-05,8.92e-05,8.92e-05
94,18784.5,0.50043,1.30673,0.53016,0.90639,0,0.88283,0.69502,0.76203,0.68228,0.86831,0.68183,0.73802,0.57701,0.58899,1.46811,0.69258,0.92774,0,7.93e-05,7.93e-05,7.93e-05
95,18975,0.50399,1.30495,0.53869,0.9063,0,0.9003,0.6855,0.76034,0.68107,0.88525,0.67232,0.73666,0.57755,0.58385,1.46267,0.68658,0.92428,0,6.94e-05,6.94e-05,6.94e-05
96,19173.7,0.49946,1.30667,0.52748,0.90753,0,0.89455,0.68194,0.75754,0.67877,0.88753,0.66614,0.73376,0.57128,0.58207,1.46036,0.68218,0.92488,0,5.95e-05,5.95e-05,5.95e-05
97,19364,0.50237,1.30701,0.52424,0.90891,0,0.89488,0.67841,0.7612,0.68215,0.88184,0.66534,0.73714,0.57455,0.57957,1.45482,0.67985,0.92369,0,4.96e-05,4.96e-05,4.96e-05
98,19557.8,0.49884,1.29052,0.51444,0.90434,0,0.88895,0.68474,0.76214,0.68308,0.87554,0.67138,0.73807,0.57667,0.57894,1.45198,0.67609,0.92393,0,3.97e-05,3.97e-05,3.97e-05
99,19752.4,0.49258,1.27945,0.50992,0.90241,0,0.87776,0.6868,0.7609,0.68253,0.86772,0.67125,0.73673,0.57543,0.57902,1.45221,0.67701,0.92337,0,2.98e-05,2.98e-05,2.98e-05
100,19946,0.49547,1.28145,0.50789,0.90409,0,0.88059,0.68486,0.76167,0.68291,0.86962,0.6702,0.73832,0.57568,0.57898,1.45207,0.67637,0.92369,0,1.99e-05,1.99e-05,1.99e-05
